@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Remove-R20'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
10,7,1,1,1,1,1,2,3,5,12,8,4,7,1,12,10,5,-1,South,268
10,6,1,1,1,1,1,3,3,5,13,7,4,7,1,10,12,5,-1,South,267
10,5,1,1,1,1,1,3,4,6,13,7,3,7,1,8,12,5,-1,South,266
10,4,1,1,1,1,1,3,4,7,13,6,3,7,1,7,12,5,-1,South,265
9,4,1,1,1,1,1,3,4,7,14,6,3,7,1,6,12,4,-1,West,264
8,4,1,1,1,1,1,2,4,6,14,7,3,7,1,6,12,2,-1,West,263
7,4,1,1,1,1,1,2,3,7,14,5,1,7,1,6,10,-1,-1,West,462
7,3,1,1,0,1,1,2,3,7,14,5,1,7,1,5,11,-1,-1,South,461
6,3,1,1,0,1,1,2,3,6,14,5,1,7,1,4,11,-1,-1,West,460
5,3,1,1,0,1,1,2,4,7,14,5,1,7,1,4,13,-1,-1,West,459
4,3,1,1,0,1,1,2,5,8,14,5,1,7,1,4,15,-1,-1,West,458
3,3,1,1,0,1,1,2,5,8,13,5,1,7,1,3,15,-1,-1,West,457
2,3,1,1,0,1,1,3,5,8,12,5,1,7,1,3,15,-1,-1,West,456
2,4,1,1,1,1,1,3,6,8,11,5,1,7,1,3,13,-1,-1,North,455
3,4,1,1,1,1,1,2,6,9,11,5,1,7,1,3,13,-1,-1,East,454
3,5,1,1,1,1,1,1,6,9,10,5,1,7,1,3,11,-1,-1,North,453
2,5,1,1,1,1,1,2,6,8,10,5,1,7,1,1,11,-1,-1,West,452
1,5,1,1,1,0,1,1,6,8,10,5,1,7,1,1,12,-1,-1,West,451
1,6,1,1,1,0,1,1,1,9,10,5,1,7,1,-1,12,-1,-1,North,650
2,6,1,1,1,1,1,1,1,8,10,5,1,7,1,-1,10,-1,-1,East,649
3,6,1,1,1,1,1,1,1,9,10,5,1,7,1,-1,10,-1,-1,East,648
4,6,1,1,1,1,1,1,1,9,10,5,1,7,1,-1,9,-1,-1,East,647
5,6,1,1,1,1,1,1,1,9,10,5,1,7,1,-1,8,-1,-1,East,646
6,6,1,1,1,1,1,1,1,9,9,5,1,7,1,-1,6,-1,-1,East,645
7,6,1,1,1,1,1,1,1,8,9,5,1,7,1,-1,4,-1,-1,East,644
8,6,1,1,1,1,1,1,1,8,9,5,1,7,1,-1,3,-1,-1,East,643
4,12,0,1,1,1,1,9,3,11,7,19,12,22,9,14,12,15,21,Stop,0
4,12,0,1,1,1,1,8,3,11,6,20,12,22,9,13,13,16,20,Stop,-1
5,12,0,1,1,1,1,8,3,10,6,20,11,21,9,12,11,16,18,East,-2
6,12,0,1,1,1,1,8,4,11,6,20,10,20,9,10,11,16,17,East,-3
7,12,0,1,1,1,1,8,5,11,5,20,11,20,9,8,11,14,15,East,96
8,12,0,1,1,1,1,7,5,11,6,20,11,20,10,8,9,13,15,East,195
9,12,0,1,1,1,1,6,5,11,7,20,11,20,9,10,7,12,14,East,294
10,12,0,1,1,1,1,6,6,11,6,20,11,20,9,10,7,11,14,East,393
10,11,1,1,1,1,1,6,5,10,6,21,11,21,9,10,5,11,12,South,492
10,10,1,1,1,1,1,7,5,10,5,21,11,20,9,8,5,12,12,South,591
10,9,1,1,1,1,1,7,6,11,5,21,12,21,9,6,5,14,12,South,690
10,8,1,1,1,1,1,7,6,12,5,22,12,22,9,5,5,16,14,South,789
10,7,1,1,1,1,1,7,7,12,5,22,12,22,10,3,4,17,14,South,888
10,6,1,1,1,1,1,7,6,11,5,22,12,21,10,3,2,18,14,South,987
9,6,1,1,1,1,1,7,6,12,5,23,12,20,10,2,4,20,16,West,1086
8,6,1,1,1,1,1,7,6,11,5,22,12,20,11,1,4,20,16,West,1185
7,6,1,1,1,1,1,1,1,11,6,22,12,20,10,-1,4,21,16,West,1484
8,6,1,1,1,1,1,1,1,11,6,22,12,20,9,-1,3,20,14,East,1483
9,6,1,1,1,1,1,1,1,11,7,21,12,19,9,-1,3,18,14,East,1482
10,6,1,1,1,1,1,1,1,11,6,21,11,20,9,-1,1,16,14,East,1481
10,7,1,1,1,1,1,1,1,11,6,21,12,21,9,-1,2,16,14,North,1480
11,7,1,1,1,1,1,1,1,10,6,21,12,22,9,-1,2,15,14,East,1479
11,6,1,1,1,1,1,1,1,9,6,21,12,22,10,-1,2,16,15,South,1478
10,6,1,1,1,1,1,1,1,9,5,21,11,22,10,-1,2,16,15,West,1477
9,6,1,1,1,1,1,1,1,3,1,21,10,22,9,-1,-1,16,16,West,1676
9,5,1,1,1,1,1,1,1,3,1,22,10,22,9,-1,-1,18,16,South,1675
10,5,1,1,1,1,1,1,1,3,1,21,10,21,9,-1,-1,16,16,East,1774
11,5,1,1,1,1,1,1,1,3,1,22,10,21,10,-1,-1,16,14,East,1873
12,5,1,1,1,1,1,1,1,3,1,22,10,20,10,-1,-1,15,14,East,1972
13,5,1,1,1,1,1,1,1,3,1,21,10,20,11,-1,-1,13,12,East,1971
14,5,1,1,1,1,1,1,1,3,1,20,10,20,10,-1,-1,11,12,East,1970
15,5,1,1,1,1,1,1,1,3,1,20,10,20,11,-1,-1,10,12,East,2069
16,5,1,1,1,1,1,1,1,3,1,21,10,21,11,-1,-1,10,12,East,2168
17,5,1,1,1,1,1,1,1,3,1,21,11,22,11,-1,-1,10,12,East,2267
17,6,1,1,1,1,1,1,1,3,1,21,12,23,11,-1,-1,10,10,North,2366
17,7,1,1,1,1,1,1,1,3,1,22,12,22,11,-1,-1,10,10,North,2465
17,8,1,1,1,1,1,1,1,3,1,22,11,22,12,-1,-1,8,8,North,2564
17,9,1,1,1,1,1,1,1,3,1,21,11,22,11,-1,-1,6,6,North,2663
18,9,1,1,1,1,1,1,1,3,1,21,11,22,10,-1,-1,5,4,East,2762
19,9,1,1,1,1,1,1,1,3,1,21,10,22,9,-1,-1,3,4,East,2861
20,9,1,1,1,1,1,1,1,3,1,20,10,22,8,-1,-1,1,3,East,2960
21,9,1,1,1,1,1,1,1,3,1,21,10,22,8,-1,-1,1,2,East,2959
21,10,1,1,1,1,1,1,1,3,1,5,1,22,8,-1,-1,-1,2,North,3258
21,11,1,1,1,1,1,1,1,3,1,5,1,22,9,-1,-1,-1,4,North,3357
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,Stop,0
9,3,0,1,0,1,1,3,6,8,7,11,7,18,11,9,5,6,16,Stop,-1
8,3,0,1,0,1,1,3,5,8,7,10,7,18,10,7,4,6,18,West,98
7,3,0,1,0,1,1,4,5,9,7,10,7,18,11,5,6,7,18,West,197
6,3,1,1,0,0,1,3,5,10,7,11,7,18,10,5,8,9,20,West,296
6,4,1,0,1,0,1,3,5,9,7,10,7,18,11,4,6,7,18,North,395
6,5,1,1,1,1,1,3,5,10,7,10,8,17,11,3,6,7,16,North,494
5,5,0,1,0,1,1,4,5,11,7,10,7,16,11,1,8,7,17,West,593
4,5,0,1,1,1,1,1,1,11,7,10,7,16,11,-1,9,8,18,West,892
3,5,1,1,0,0,1,1,1,10,7,11,7,16,11,-1,9,10,19,West,891
3,6,1,0,1,0,1,1,1,10,8,10,7,16,11,-1,9,8,18,North,990
3,7,1,1,1,1,1,1,1,9,8,11,7,16,11,-1,7,8,17,North,1089
4,7,0,1,0,1,1,1,1,9,8,10,7,16,11,-1,6,6,15,East,1188
5,7,0,1,0,1,1,1,1,9,8,10,7,15,11,-1,5,5,13,East,1287
6,7,1,0,1,1,1,1,1,9,7,11,7,15,10,-1,3,5,11,East,1386
6,8,1,0,1,0,1,1,1,10,7,11,7,15,9,-1,5,6,11,North,1485
6,9,1,1,1,1,1,1,1,10,8,11,7,15,10,-1,5,7,11,North,1584
7,9,0,1,0,1,1,1,1,10,8,11,7,15,11,-1,4,6,11,East,1683
8,9,0,1,0,1,1,1,1,9,8,10,7,16,11,-1,2,4,10,East,1782
9,9,0,1,1,1,1,1,1,10,8,9,7,16,11,-1,2,2,9,East,1881
9,8,1,1,1,0,1,1,1,10,7,9,7,16,11,-1,2,1,10,South,1880
9,7,1,1,0,1,1,1,1,10,7,5,1,16,11,-1,1,-1,10,South,2079
10,7,1,1,0,1,1,1,1,3,1,5,1,15,11,-1,-1,-1,8,East,2278
9,7,1,1,0,1,1,1,1,3,1,5,1,15,10,-1,-1,-1,10,West,2277
9,8,1,1,1,0,1,1,1,3,1,5,1,15,11,-1,-1,-1,9,North,2276
9,9,0,1,1,1,1,1,1,3,1,5,1,15,11,-1,-1,-1,7,North,2275
10,9,0,1,1,1,1,1,1,3,1,5,1,15,10,-1,-1,-1,6,East,2374
11,9,0,1,0,1,1,1,1,3,1,5,1,15,10,-1,-1,-1,6,East,2473
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,14,Stop,0
9,3,0,1,0,1,1,8,7,10,7,11,7,17,9,5,5,6,15,Stop,-1
8,3,1,1,0,1,1,8,7,10,8,11,7,18,9,4,7,7,15,West,98
7,3,0,1,0,1,1,8,7,10,8,10,7,17,9,5,8,7,17,West,197
6,3,1,1,0,1,1,9,7,10,8,10,8,18,9,7,9,9,18,West,296
6,4,1,0,1,0,1,10,7,10,8,10,8,18,9,7,8,8,17,North,395
6,5,1,0,1,1,1,10,8,9,8,10,8,18,9,7,6,7,15,North,494
6,6,1,0,1,0,1,10,8,10,8,9,8,17,9,6,6,5,14,North,593
6,7,1,1,1,1,1,9,8,10,8,10,8,17,9,4,5,5,13,North,692
6,8,1,0,1,0,1,9,8,10,7,10,9,17,9,3,5,5,13,North,791
6,9,0,1,1,0,1,9,7,10,7,10,9,18,9,5,6,4,12,North,890
7,9,0,1,0,1,1,9,8,10,7,11,9,18,9,3,5,4,11,East,989
8,9,0,1,0,1,1,9,9,9,7,12,9,18,9,1,3,4,9,East,1088
9,9,0,1,1,1,1,1,1,10,7,11,9,17,9,-1,3,2,8,East,1387
9,8,1,1,1,0,1,1,1,11,7,12,9,17,9,-1,3,4,10,South,1486
9,7,1,1,1,1,1,1,1,11,7,13,9,18,9,-1,2,6,10,South,1485
10,7,1,1,0,1,1,1,1,11,7,12,9,17,9,-1,1,4,9,East,1484
11,7,0,0,0,1,1,1,1,3,1,11,9,17,9,-1,-1,2,7,East,1683
10,7,1,1,0,1,1,1,1,3,1,12,9,16,9,-1,-1,4,9,West,1682
10,8,1,0,1,1,1,1,1,3,1,13,9,17,9,-1,-1,4,9,North,1781
10,9,0,1,1,1,1,1,1,3,1,13,8,18,9,-1,-1,4,7,North,1880
11,9,0,1,0,1,1,1,1,3,1,13,8,17,9,-1,-1,3,5,East,1979
12,9,0,1,0,1,1,1,1,3,1,13,8,16,9,-1,-1,2,4,East,2078
13,9,0,0,1,1,1,1,1,3,1,13,8,16,9,-1,-1,1,4,East,2177
13,8,1,0,1,0,1,1,1,3,1,5,1,17,9,-1,-1,-1,4,South,2476
13,7,1,1,1,0,1,1,1,3,1,5,1,16,9,-1,-1,-1,4,South,2575
1,18,0,1,1,0,1,5,9,11,3,17,6,25,13,13,25,28,29,Stop,0
1,18,0,1,1,0,1,6,9,11,4,17,6,25,13,14,24,28,28,Stop,-1
1,17,1,0,1,0,1,6,9,11,3,17,6,25,14,13,24,27,27,South,-2
1,16,1,1,1,0,1,6,10,11,4,17,6,25,14,11,22,26,25,South,-3
1,15,1,1,1,0,1,6,9,11,4,17,5,24,14,11,21,26,24,South,-4
1,14,1,1,1,0,1,6,8,11,4,17,6,24,14,11,20,24,23,South,-5
1,13,1,0,1,0,1,6,9,11,5,18,6,24,14,9,18,24,24,South,-6
1,12,1,1,1,0,1,6,9,11,6,18,6,24,14,8,16,23,24,South,-7
1,11,1,0,1,0,1,6,10,11,7,17,6,23,14,6,14,21,25,South,-8
1,10,1,0,1,0,1,6,10,10,7,18,6,23,14,5,12,21,27,South,-9
1,9,1,0,1,0,1,5,10,11,7,18,5,23,15,5,12,21,27,South,-10
1,8,1,0,1,0,1,5,10,11,8,18,5,22,15,6,10,20,29,South,-11
1,7,1,0,1,0,1,4,10,11,8,18,4,23,15,6,11,20,31,South,-12
1,6,1,1,1,0,1,4,9,11,8,19,4,24,15,6,12,20,31,South,-13
2,6,0,1,1,1,1,4,10,11,7,19,4,23,15,6,10,19,29,East,-14
3,6,1,1,1,1,1,4,10,11,8,19,4,22,15,5,10,18,29,East,-15
4,6,1,1,1,1,1,4,9,11,9,20,4,22,16,3,10,18,27,East,-16
4,7,1,1,1,1,1,3,9,11,8,20,4,22,15,3,8,19,25,North,-17
4,8,1,1,1,1,1,4,9,11,7,20,4,22,14,1,8,20,25,North,-18
3,8,1,1,1,0,1,4,10,10,7,20,3,22,15,3,8,22,27,West,-19
3,9,1,1,1,0,1,5,10,10,7,20,3,23,15,3,9,23,26,North,-20
3,10,0,1,1,0,1,5,10,9,7,20,3,23,15,2,9,24,26,North,-21
3,10,0,1,1,0,1,4,10,8,7,21,3,24,15,1,8,25,26,North,-22
4,10,0,1,1,1,1,1,1,8,6,21,3,24,15,-1,8,24,26,East,177
4,9,1,1,1,1,1,1,1,9,6,22,3,25,15,-1,8,24,27,South,176
4,8,1,1,1,1,1,1,1,9,7,22,4,25,15,-1,6,22,29,South,175
4,7,1,1,1,1,1,1,1,10,7,22,3,25,16,-1,6,22,29,South,174
4,6,1,1,1,1,1,1,1,10,7,22,4,24,16,-1,7,20,29,South,173
5,6,1,1,1,1,1,1,1,9,7,22,3,24,15,-1,5,20,29,East,172
6,6,1,1,0,1,1,1,1,10,7,23,3,24,16,-1,5,20,29,East,171
7,6,0,1,0,1,1,1,1,11,7,23,4,25,16,-1,5,18,28,East,170
8,6,1,1,1,1,1,1,1,11,7,23,3,25,16,-1,4,18,26,East,169
9,6,1,1,1,1,1,1,1,11,6,23,4,25,15,-1,2,16,25,East,168
10,6,1,1,1,1,1,1,1,11,6,23,3,25,15,-1,1,16,24,East,167
11,6,1,0,1,1,1,1,1,3,1,24,3,25,15,-1,-1,16,22,East,366
11,7,1,0,1,1,1,1,1,3,1,24,3,24,15,-1,-1,17,20,North,365
11,8,1,0,1,1,1,1,1,3,1,23,3,23,15,-1,-1,17,18,North,364
11,9,1,0,1,1,1,1,1,3,1,23,4,22,15,-1,-1,17,16,North,363
11,10,1,0,1,1,1,1,1,3,1,22,4,22,14,-1,-1,17,16,North,362
11,11,1,0,1,1,1,1,1,3,1,22,4,22,15,-1,-1,18,16,North,361
11,12,0,1,1,1,1,1,1,3,1,22,4,23,15,-1,-1,19,16,North,360
12,12,0,1,0,1,1,1,1,3,1,22,4,23,16,-1,-1,18,14,East,359
13,12,0,1,1,1,1,1,1,3,1,21,4,22,16,-1,-1,16,13,East,358
13,11,1,1,1,0,1,1,1,3,1,20,4,22,16,-1,-1,14,14,South,357
13,10,1,1,1,0,1,1,1,3,1,20,5,22,16,-1,-1,12,14,South,356
13,9,1,1,1,0,1,1,1,3,1,19,5,22,15,-1,-1,10,16,South,355
13,8,1,1,1,0,1,1,1,3,1,20,5,23,15,-1,-1,10,17,South,354
13,7,1,1,1,0,1,1,1,3,1,20,5,23,15,-1,-1,9,17,South,353
13,6,1,1,1,0,1,1,1,3,1,20,5,22,15,-1,-1,8,18,South,352
14,6,1,1,1,1,1,1,1,3,1,19,5,22,15,-1,-1,6,16,East,351
15,6,0,1,0,1,1,1,1,3,1,19,4,21,15,-1,-1,6,15,East,350
16,6,0,1,0,1,1,1,1,3,1,18,4,21,15,-1,-1,4,13,East,349
17,6,0,1,1,1,1,1,1,3,1,18,5,20,15,-1,-1,2,11,East,348
17,5,1,1,1,0,1,1,1,3,1,18,5,20,14,-1,-1,1,11,South,347
18,5,1,1,1,1,1,1,1,3,1,5,1,19,14,-1,-1,-1,9,East,546
18,6,0,1,1,1,1,1,1,3,1,5,1,19,13,-1,-1,-1,9,North,545
17,6,0,1,1,1,1,1,1,3,1,5,1,19,14,-1,-1,-1,9,West,544
16,6,0,1,0,1,1,1,1,3,1,5,1,18,14,-1,-1,-1,9,West,543
15,6,0,1,0,1,1,1,1,3,1,5,1,18,13,-1,-1,-1,10,West,542
14,6,1,1,1,1,1,1,1,3,1,5,1,18,13,-1,-1,-1,12,West,541
14,7,1,0,1,1,1,1,1,3,1,5,1,18,14,-1,-1,-1,10,North,540
14,8,1,1,1,1,1,1,1,3,1,5,1,17,14,-1,-1,-1,10,North,539
14,9,1,0,1,1,1,1,1,3,1,5,1,18,14,-1,-1,-1,9,North,538
14,10,1,1,1,1,1,1,1,3,1,5,1,18,14,-1,-1,-1,8,North,537
15,10,1,1,0,1,1,1,1,3,1,5,1,18,14,-1,-1,-1,8,East,536
16,10,1,1,0,1,1,1,1,3,1,5,1,19,14,-1,-1,-1,7,East,535
17,10,1,1,0,1,1,1,1,3,1,5,1,19,14,-1,-1,-1,7,East,534
18,10,1,1,0,1,1,1,1,3,1,5,1,20,14,-1,-1,-1,5,East,533
18,11,1,1,1,1,1,1,1,3,1,5,1,20,13,-1,-1,-1,3,North,532
18,12,1,1,1,1,1,1,1,3,1,5,1,19,13,-1,-1,-1,3,North,531
19,12,1,1,1,1,1,1,1,3,1,5,1,20,13,-1,-1,-1,3,East,530
19,13,1,1,1,1,1,1,1,3,1,5,1,20,14,-1,-1,-1,1,North,529
20,13,1,0,1,1,1,1,1,3,1,5,1,19,14,-1,-1,-1,3,East,528
20,14,1,0,1,1,1,1,1,3,1,5,1,18,14,-1,-1,-1,1,North,527
20,15,1,1,1,0,1,1,1,3,1,5,1,19,14,-1,-1,-1,3,North,526
