@relation 'training2_keyboard-weka.filters.unsupervised.attribute.Remove-R23-25-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,21-weka.filters.unsupervised.attribute.Remove-R20'

@attribute PosX_P numeric
@attribute PosY_P numeric
@attribute IsLegalNorth {0,1}
@attribute IsLegalEast {0,1}
@attribute IsLegalSouth {0,1}
@attribute IsLegalWest {0,1}
@attribute IsLegalStop {0,1}
@attribute PosX_G0 numeric
@attribute PosY_G0 numeric
@attribute PosX_G1 numeric
@attribute PosY_G1 numeric
@attribute PosX_G2 numeric
@attribute PosY_G2 numeric
@attribute PosX_G3 numeric
@attribute PosY_G3 numeric
@attribute Dis_G0 numeric
@attribute Dis_G1 numeric
@attribute Dis_G2 numeric
@attribute Dis_G3 numeric
@attribute Dir_P {North,South,East,West,Stop}
@attribute Score numeric

@data
12,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,16,16,East,1378
13,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,15,15,East,1377
14,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,14,14,East,1376
15,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,13,13,East,1375
16,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,12,12,East,1374
17,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,11,11,East,1473
18,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,10,10,East,1572
19,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,9,9,East,1671
20,3,1,1,0,1,1,1,1,3,1,19,12,22,9,-1,-1,10,8,East,1770
20,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,9,7,North,1869
21,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,10,6,East,1968
22,4,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,11,5,East,2067
22,5,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,10,4,North,2166
22,6,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,9,3,North,2165
22,7,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,8,2,North,2264
22,8,1,1,1,1,1,1,1,3,1,19,12,22,9,-1,-1,7,1,North,2363
22,9,1,1,1,1,1,1,1,3,1,19,12,7,1,-1,-1,6,-1,North,2562
22,10,1,1,1,1,1,1,1,3,1,19,12,7,1,-1,-1,5,-1,North,2661
21,10,1,1,1,1,1,1,1,3,1,19,12,7,1,-1,-1,4,-1,West,2760
9,3,0,1,0,1,1,3,5,8,7,11,7,18,11,8,5,6,17,Stop,0
